kepoi_name,kepler_name,glon,glat,sma,smaunc,prad,pradunc,kepoi_type
KOI 321.01,,77.123773,12.936703,0.0350,,1.59,,CANDIDATE-FOP
KOI 323.01,,75.410321,18.191268,0.0630,,2.17,,CANDIDATE-FOP
KOI 327.01,,77.516231,16.516507,0.0460,,1.48,,CANDIDATE
KOI 330.01,,82.529338,11.782070,0.0770,,2.26,,CANDIDATE
KOI 331.01,,80.688860,11.331731,0.1390,,3.54,,CANDIDATE
KOI 332.01,,81.204631,10.475927,0.0630,,1.92,,CANDIDATE
KOI 333.01,,79.129479,14.526607,0.1140,,2.27,,CANDIDATE
KOI 335.01,,79.632417,14.111345,0.2740,,4.88,,CANDIDATE
KOI 337.01,,80.880522,11.810856,0.1430,,1.86,,CANDIDATE
KOI 338.01,,81.609371,10.449888,0.0720,,37.36,,CANDIDATE
KOI 338.02,,81.609371,10.449888,0.0420,,17.51,,CANDIDATE
KOI 339.01,,78.211162,17.859630,0.0300,,1.55,,CANDIDATE
KOI 339.02,,78.211162,17.859630,0.1050,,1.66,,CANDIDATE
KOI 340.01,,81.569897,10.663703,0.1690,,16.77,,CANDIDATE
KOI 341.01,,82.062168,10.704382,0.1140,,2.98,,CANDIDATE
KOI 341.02,,82.062168,10.704382,0.0540,,1.58,,CANDIDATE
KOI 343.01,,81.369772,12.482842,0.0550,,2.68,,CANDIDATE
KOI 343.02,,81.369772,12.482842,0.0310,,1.86,,CANDIDATE
KOI 343.03,,81.369772,12.482842,0.2350,,1.58,,CANDIDATE
KOI 344.01,,78.260795,19.683713,0.2140,,3.34,,CANDIDATE
KOI 345.01,,79.158297,17.753124,0.1710,,2.72,,CANDIDATE
KOI 346.01,,82.614092,10.476157,0.1000,,2.40,,CANDIDATE
KOI 348.01,,81.251899,13.483536,0.1680,,3.53,,CANDIDATE
KOI 349.01,,79.805935,17.761363,0.1180,,2.85,,CANDIDATE
KOI 350.01,,80.062161,17.150117,0.1080,,2.36,,CANDIDATE
KOI 351.01,,79.269477,19.255748,0.9690,,9.32,,CANDIDATE
KOI 351.02,,79.269477,19.255748,0.7160,,6.62,,CANDIDATE
KOI 351.03,,79.269477,19.255748,0.3090,,2.44,,CANDIDATE
KOI 352.01,,83.137807,11.208843,0.1720,,2.52,,CANDIDATE
KOI 353.01,,82.385975,12.918016,0.6090,,9.21,,CANDIDATE
KOI 354.01,,82.733504,12.212707,0.1280,,2.27,,CANDIDATE
KOI 355.01,,82.920601,12.200522,0.0610,,2.35,,CANDIDATE
KOI 356.01,,83.233050,11.505420,0.0280,,6.27,,CANDIDATE
KOI 360.01,,81.748378,16.866875,0.0670,,0.68,,CANDIDATE
KOI 361.01,,82.520474,16.720179,0.0430,,1.53,,CANDIDATE
KOI 365.01,,83.141967,11.640838,0.3490,,2.28,,CANDIDATE-FOP
KOI 366.01,,71.242875,10.262838,0.3790,,10.59,,CANDIDATE
KOI 367.01,,70.079098,15.863864,0.1940,,4.97,,CANDIDATE
KOI 368.01,,74.141527,12.342907,0.5810,,19.16,,CANDIDATE
KOI 369.01,,72.147411,18.689124,0.0650,,1.14,,CANDIDATE
KOI 369.02,,72.147411,18.689124,0.0930,,1.08,,CANDIDATE
KOI 370.01,,76.572624,13.042867,0.2610,,4.32,,CANDIDATE
KOI 370.02,,76.572624,13.042867,0.1720,,2.65,,CANDIDATE
KOI 371.01,,76.219755,5.943272,1.3610,,84.19,,CANDIDATE
KOI 372.01,,76.878029,6.818121,0.5000,,8.51,,CANDIDATE
KOI 373.01,,75.352623,11.786493,0.4870,,2.52,,CANDIDATE
KOI 374.01,,76.657225,13.679960,0.5940,,3.04,,CANDIDATE
KOI 375.01,,82.733139,15.907564,,,10.44,,CANDIDATE
KOI 377.01,KEPLER-9 b,68.980133,14.489878,0.1430,,8.28,,CONFIRMED
KOI 377.02,KEPLER-9 c,68.980133,14.489878,0.2290,,8.21,,CONFIRMED
KOI 377.03,KEPLER-9 d,68.980133,14.489878,0.0270,,1.67,,CONFIRMED
KOI 379.01,,70.620379,9.607114,0.0720,,2.58,,CANDIDATE
KOI 379.02,,70.620379,9.607114,0.1640,,1.83,,CANDIDATE
KOI 384.01,,72.003398,8.462229,0.0570,,1.71,,CANDIDATE
KOI 385.01,,71.376056,9.846610,0.1060,,2.15,,CANDIDATE
KOI 386.01,,72.213816,8.607531,0.1910,,3.25,,CANDIDATE
KOI 386.02,,72.213816,8.607531,0.3480,,2.94,,CANDIDATE
KOI 387.01,,69.948516,13.499460,0.0980,,2.18,,CANDIDATE
KOI 388.01,,69.216371,15.322608,0.0680,,3.01,,CANDIDATE
KOI 392.01,,70.407858,13.055619,0.2040,,2.27,,CANDIDATE
KOI 392.02,,70.407858,13.055619,0.1060,,1.33,,CANDIDATE
KOI 393.01,,72.488897,8.823892,0.1580,,2.01,,CANDIDATE
KOI 398.01,,78.275605,15.030041,0.2580,,8.66,,CANDIDATE
KOI 398.02,,78.275605,15.030041,0.0480,,3.33,,CANDIDATE
KOI 398.03,,78.275605,15.030041,0.0270,,1.76,,CANDIDATE
KOI 401.01,,69.054173,14.282047,0.1840,,6.57,,CANDIDATE
KOI 401.02,,69.054173,14.282047,0.5710,,6.67,,CANDIDATE
KOI 403.01,,70.323682,13.949443,0.1420,,39.39,,CANDIDATE
KOI 408.01,,71.833380,13.467655,0.0720,,3.72,,CANDIDATE
KOI 408.02,,71.833380,13.467655,0.1030,,2.91,,CANDIDATE
KOI 408.03,,71.833380,13.467655,0.1880,,2.70,,CANDIDATE
KOI 409.01,,72.759246,11.935166,0.1090,,2.18,,CANDIDATE
KOI 410.01,,73.335966,10.792323,0.0710,,39.97,,CANDIDATE
KOI 412.01,,70.764178,17.123297,0.0500,,6.72,,CANDIDATE
KOI 413.01,,73.604557,10.996381,0.1130,,2.75,,CANDIDATE
KOI 413.02,,73.604557,10.996381,0.1560,,2.10,,CANDIDATE
KOI 415.01,,74.528585,10.493132,0.5650,,7.20,,CANDIDATE
KOI 416.01,,72.791647,15.001034,0.1260,,2.81,,CANDIDATE
KOI 416.02,,72.791647,15.001034,0.3600,,2.71,,CANDIDATE
KOI 417.01,,76.222386,8.901661,0.1390,,11.65,,CANDIDATE
KOI 418.01,,77.670815,9.148735,0.1410,,9.45,,CANDIDATE
KOI 419.01,,74.610122,16.501300,0.1440,,31.10,,CANDIDATE
KOI 420.01,,74.832006,16.411871,0.0580,,3.65,,CANDIDATE
KOI 421.01,,80.268876,8.154015,0.0500,,11.23,,CANDIDATE
KOI 422.01,,77.326926,14.160763,,,14.00,,CANDIDATE
KOI 423.01,KEPLER-39 b,79.759551,10.234162,0.1500,,9.42,,CONFIRMED
KOI 425.01,,80.788006,9.995842,0.0610,,11.77,,CANDIDATE
KOI 426.01,,79.674917,12.472343,0.1250,,3.33,,CANDIDATE
KOI 427.01,,76.895516,19.461852,0.1550,,4.31,,CANDIDATE
KOI 427.02,,76.895516,19.461852,0.2250,,2.65,,CANDIDATE
KOI 428.01,KEPLER-40 b,81.044764,11.035147,0.0730,,6.53,,CONFIRMED
KOI 429.01,,81.637188,10.672940,0.0750,,3.91,,CANDIDATE
KOI 430.01,,78.281229,18.173857,0.0850,,2.30,,CANDIDATE
KOI 431.01,,77.766564,20.142448,0.1280,,2.80,,CANDIDATE
KOI 431.02,,77.766564,20.142448,0.2340,,2.48,,CANDIDATE
KOI 432.01,,79.857137,14.999114,0.0600,,3.50,,CANDIDATE
KOI 433.01,,82.335032,10.405159,0.0480,,5.60,,CANDIDATE
KOI 433.02,,82.335032,10.405159,0.9060,,12.90,,CANDIDATE
KOI 435.01,,81.168335,16.241801,0.1410,,3.31,,CANDIDATE
KOI 435.02,,81.168335,16.241801,,,7.67,,CANDIDATE
KOI 438.01,,81.987357,17.449570,0.0540,,1.74,,CANDIDATE
KOI 438.02,,81.987357,17.449570,0.2300,,2.10,,CANDIDATE
KOI 439.01,,84.382069,13.059892,0.0290,,3.86,,CANDIDATE
KOI 440.01,,69.964873,10.840402,0.1140,,2.26,,CANDIDATE
KOI 440.02,,69.964873,10.840402,0.0520,,2.36,,CANDIDATE
KOI 442.01,,71.275870,10.772924,0.1110,,2.30,,CANDIDATE
KOI 442.02,,71.275870,10.772924,0.0280,,1.37,,CANDIDATE
KOI 443.01,,69.466584,14.740733,0.1190,,2.49,,CANDIDATE
KOI 444.01,,71.139070,11.199141,0.1010,,2.19,,CANDIDATE
KOI 446.01,,69.820450,16.127070,0.1090,,1.76,,CANDIDATE
KOI 446.02,,69.820450,16.127070,0.1560,,1.72,,CANDIDATE
KOI 448.01,,75.229826,7.651485,0.0730,,1.77,,CANDIDATE
KOI 448.02,,75.229826,7.651485,0.1930,,2.31,,CANDIDATE
KOI 452.01,,74.676462,10.229622,0.0460,,2.40,,CANDIDATE
KOI 454.01,,72.780885,16.762921,0.1740,,3.00,,CANDIDATE
KOI 456.01,,73.902667,14.734741,0.1060,,3.27,,CANDIDATE
KOI 456.02,,73.902667,14.734741,0.0490,,1.50,,CANDIDATE
KOI 457.01,,74.955683,12.994690,0.0520,,1.84,,CANDIDATE
KOI 457.02,,74.955683,12.994690,0.0660,,2.03,,CANDIDATE
KOI 458.01,,72.817518,18.169813,0.2690,,8.03,,CANDIDATE
KOI 459.01,,77.820883,8.917303,0.1340,,3.09,,CANDIDATE
KOI 459.02,,77.820883,8.917303,0.0670,,1.24,,CANDIDATE
KOI 460.01,,77.662655,9.360940,0.1290,,3.99,,CANDIDATE
KOI 463.01,,80.012964,7.756341,0.1090,,2.51,,CANDIDATE
KOI 464.01,,77.857499,11.793721,0.2870,,6.73,,CANDIDATE
KOI 464.02,,77.857499,11.793721,0.0580,,2.63,,CANDIDATE
KOI 465.01,,77.948654,11.695432,,,4.08,,CANDIDATE
KOI 466.01,,75.796303,16.760003,0.0880,,7.60,,CANDIDATE
KOI 467.01,,77.819318,14.582674,0.1330,,5.00,,CANDIDATE
KOI 468.01,,78.532500,13.131402,0.1420,,3.43,,CANDIDATE
KOI 469.01,,77.533834,15.578667,0.0960,,5.83,,CANDIDATE
KOI 470.01,,80.247061,10.591613,0.0470,,4.58,,CANDIDATE
KOI 471.01,,79.973244,11.870879,0.1490,,2.29,,CANDIDATE
KOI 471.02,,79.973244,11.870879,0.0760,,1.04,,CANDIDATE
KOI 472.01,,76.973962,19.059351,0.0500,,3.03,,CANDIDATE
KOI 473.01,,80.725308,10.869534,0.1040,,3.25,,CANDIDATE
KOI 474.01,,78.458599,16.584666,0.1000,,2.61,,CANDIDATE
KOI 474.02,,78.458599,16.584666,0.1910,,2.57,,CANDIDATE
KOI 474.03,,78.458599,16.584666,0.4220,,3.24,,CANDIDATE
KOI 475.01,,76.920150,21.128729,0.0710,,2.04,,CANDIDATE
KOI 475.02,,76.920150,21.128729,0.1080,,2.26,,CANDIDATE
KOI 476.01,,79.685648,14.330988,0.1240,,2.14,,CANDIDATE
KOI 477.01,,82.019141,10.900759,0.1210,,2.48,,CANDIDATE
KOI 478.01,,82.249018,10.696745,0.0790,,2.75,,CANDIDATE
KOI 479.01,,78.302789,19.580450,0.2030,,3.41,,CANDIDATE
KOI 480.01,,80.291478,15.410058,0.0490,,2.51,,CANDIDATE
KOI 481.01,,81.148953,13.819283,0.0700,,2.37,,CANDIDATE
KOI 481.02,,81.148953,13.819283,0.0240,,1.54,,CANDIDATE
KOI 481.03,,81.148953,13.819283,0.1910,,2.44,,CANDIDATE
KOI 483.01,,79.885635,18.001241,0.0540,,2.43,,CANDIDATE
KOI 484.01,,82.203035,15.669050,0.1170,,2.16,,CANDIDATE
KOI 486.01,,82.391757,16.912576,0.1430,,1.83,,CANDIDATE
KOI 487.01,,83.452175,16.847953,0.0710,,2.58,,CANDIDATE
KOI 488.01,,68.895855,13.258874,0.0790,,1.88,,CANDIDATE
KOI 490.01,,71.353081,9.444943,0.0480,,1.72,,CANDIDATE
KOI 490.02,,71.353081,9.444943,,,9.98,,CANDIDATE
KOI 490.03,,71.353081,9.444943,0.0680,,1.63,,CANDIDATE
KOI 490.04,,71.353081,9.444943,0.1400,,1.40,,CANDIDATE
KOI 492.01,,72.565250,7.844207,0.1860,,3.77,,CANDIDATE
KOI 494.01,,72.761143,8.366599,0.1480,,2.01,,CANDIDATE
KOI 496.01,,71.110074,12.706743,0.0260,,2.09,,CANDIDATE
KOI 497.01,,73.429709,8.723541,0.1130,,2.74,,CANDIDATE
KOI 497.02,,73.429709,8.723541,0.0550,,1.53,,CANDIDATE
KOI 499.01,,73.650913,8.586911,0.0870,,1.75,,CANDIDATE
KOI 500.01,,74.086679,7.852678,0.0650,,2.64,,CANDIDATE
KOI 500.02,,74.086679,7.852678,0.0790,,2.79,,CANDIDATE
KOI 500.03,,74.086679,7.852678,0.0370,,1.53,,CANDIDATE
KOI 500.04,,74.086679,7.852678,0.0490,,1.63,,CANDIDATE
KOI 500.05,,74.086679,7.852678,0.0170,,1.38,,CANDIDATE
KOI 501.01,,75.074477,6.330864,0.1610,,2.22,,CANDIDATE
KOI 503.01,,70.408725,16.792204,0.0650,,1.95,,CANDIDATE
KOI 504.01,,74.427508,8.629274,0.2220,,2.14,,CANDIDATE
KOI 505.01,,71.508984,15.178518,0.1070,,2.87,,CANDIDATE
KOI 505.02,,71.508984,15.178518,0.0630,,1.62,,CANDIDATE
KOI 506.01,,72.460275,13.515274,0.0270,,3.12,,CANDIDATE
KOI 507.01,,75.558061,7.459828,0.1270,,3.25,,CANDIDATE
KOI 508.01,,71.750368,16.476797,0.0800,,3.44,,CANDIDATE
KOI 508.02,,71.750368,16.476797,0.1310,,3.31,,CANDIDATE
KOI 509.01,,75.899546,8.281254,0.0490,,2.24,,CANDIDATE
KOI 509.02,,75.899546,8.281254,0.0960,,2.68,,CANDIDATE
KOI 510.01,,71.606850,17.347607,0.0380,,2.42,,CANDIDATE
KOI 510.02,,71.606850,17.347607,0.0640,,2.62,,CANDIDATE
KOI 510.03,,71.606850,17.347607,0.1120,,2.38,,CANDIDATE
KOI 511.01,,75.247892,9.734052,0.0720,,2.25,,CANDIDATE
KOI 511.02,,75.247892,9.734052,0.0470,,1.26,,CANDIDATE
KOI 512.01,,71.782992,18.408678,0.0670,,2.84,,CANDIDATE
KOI 513.01,,73.611460,14.243676,0.2220,,3.84,,CANDIDATE
KOI 517.01,,74.493887,15.960418,0.0380,,3.54,,CANDIDATE
KOI 518.01,,74.718637,15.338999,0.0960,,2.11,,CANDIDATE
KOI 518.02,,74.718637,15.338999,0.2060,,1.54,,CANDIDATE
KOI 519.01,,75.394500,13.961216,0.1030,,2.43,,CANDIDATE
KOI 519.02,,75.394500,13.961216,0.2080,,2.53,,CANDIDATE
KOI 520.01,,77.026188,10.636515,0.1000,,2.57,,CANDIDATE
KOI 520.02,,77.026188,10.636515,0.0570,,1.53,,CANDIDATE
KOI 520.03,,77.026188,10.636515,0.1590,,2.93,,CANDIDATE
KOI 521.01,,75.961530,13.278735,0.0910,,3.63,,CANDIDATE
KOI 522.01,,79.578202,6.708042,0.1020,,2.94,,CANDIDATE
KOI 523.01,,75.496842,16.724417,0.2680,,6.97,,CANDIDATE
KOI 523.02,,75.496842,16.724417,0.2200,,2.86,,CANDIDATE
KOI 524.01,,74.999276,18.433699,0.0520,,2.32,,CANDIDATE
KOI 525.01,,80.650681,7.561327,0.0970,,5.14,,CANDIDATE
KOI 526.01,,78.042459,12.425889,0.0320,,3.11,,CANDIDATE
KOI 528.01,,77.567907,16.734951,0.0840,,2.62,,CANDIDATE
KOI 528.02,,77.567907,16.734951,0.3910,,3.27,,CANDIDATE
KOI 528.03,,77.567907,16.734951,0.1390,,3.12,,CANDIDATE
KOI 530.01,,78.477591,15.941131,0.0940,,2.07,,CANDIDATE
KOI 531.01,,78.354528,16.609124,0.0380,,2.83,,CANDIDATE
KOI 532.01,,77.618561,18.819546,0.0520,,2.58,,CANDIDATE
KOI 533.01,,76.850300,21.143123,0.1190,,2.62,,CANDIDATE
KOI 534.01,,81.868257,10.058660,0.0630,,2.43,,CANDIDATE
KOI 534.02,,81.868257,10.058660,0.0360,,1.67,,CANDIDATE
KOI 535.01,,81.542206,11.621807,0.0640,,3.30,,CANDIDATE
KOI 536.01,,78.786370,17.972139,0.5800,,3.00,,CANDIDATE
KOI 537.01,,78.976080,18.205761,0.0390,,2.02,,CANDIDATE
KOI 538.01,,81.473466,12.658638,0.1500,,2.84,,CANDIDATE
KOI 541.01,,80.815468,16.700672,0.1080,,2.44,,CANDIDATE
KOI 542.01,,82.688168,12.807522,0.2230,,2.44,,CANDIDATE
KOI 542.02,,82.688168,12.807522,0.1060,,1.42,,CANDIDATE
KOI 543.01,,83.156180,12.622735,0.0490,,2.23,,CANDIDATE
KOI 543.02,,83.156180,12.622735,0.0390,,1.39,,CANDIDATE
KOI 546.01,,81.843089,16.481701,0.1540,,3.12,,CANDIDATE
KOI 546.02,,81.843089,16.481701,0.0940,,2.30,,CANDIDATE
KOI 547.01,,83.218253,13.782778,0.1630,,4.19,,CANDIDATE
KOI 548.01,,82.820135,17.095395,0.1550,,3.11,,CANDIDATE
KOI 550.01,,72.464630,9.301088,0.1060,,2.34,,CANDIDATE
KOI 551.01,,72.543361,9.288621,0.1000,,2.23,,CANDIDATE
KOI 551.02,,72.543361,9.288621,0.0620,,1.98,,CANDIDATE
KOI 552.01,,74.793383,7.118662,0.0400,,9.75,,CANDIDATE
KOI 554.01,,72.682545,12.080143,0.0470,,7.34,,CANDIDATE
KOI 555.01,,73.857180,10.309255,0.0440,,1.40,,CANDIDATE
KOI 555.02,,73.857180,10.309255,0.3630,,2.68,,CANDIDATE
KOI 557.01,,71.625366,15.298410,0.1120,,2.64,,CANDIDATE
KOI 558.01,,75.423294,8.111542,0.0800,,2.11,,CANDIDATE
KOI 559.01,,71.685991,17.294878,0.0460,,1.25,,CANDIDATE
KOI 560.01,,71.891337,17.082368,0.1520,,2.60,,CANDIDATE
KOI 561.01,,71.578189,18.421026,0.0540,,1.68,,CANDIDATE
KOI 563.01,,75.972221,8.949830,0.1210,,1.80,,CANDIDATE
KOI 564.01,,75.485271,10.163627,0.1470,,2.62,,CANDIDATE
KOI 564.02,,75.485271,10.163627,0.4890,,6.09,,CANDIDATE
KOI 566.01,,75.120223,11.607714,0.1710,,2.23,,CANDIDATE
KOI 567.01,,75.411074,12.045127,0.0900,,2.64,,CANDIDATE
KOI 567.02,,75.411074,12.045127,0.1380,,2.17,,CANDIDATE
KOI 567.03,,75.411074,12.045127,0.1750,,2.53,,CANDIDATE
KOI 568.01,,74.149733,15.218069,0.0420,,1.34,,CANDIDATE
KOI 569.01,,73.397990,18.693454,0.1370,,2.37,,CANDIDATE
KOI 569.02,,73.397990,18.693454,0.0250,,1.29,,CANDIDATE
KOI 571.01,,78.519882,8.170695,0.0600,,1.53,,CANDIDATE
KOI 571.02,,78.519882,8.170695,0.0900,,1.68,,CANDIDATE
KOI 571.03,,78.519882,8.170695,0.0390,,1.31,,CANDIDATE
KOI 571.04,,78.519882,8.170695,0.1270,,1.53,,CANDIDATE
KOI 572.01,,79.057565,7.529832,0.0900,,2.44,,CANDIDATE
KOI 572.02,,79.057565,7.529832,0.0540,,1.24,,CANDIDATE
KOI 573.01,,73.519503,19.640129,0.0630,,3.00,,CANDIDATE
KOI 573.02,,73.519503,19.640129,0.0310,,1.73,,CANDIDATE
KOI 574.01,,75.206575,15.441298,0.1340,,2.45,,CANDIDATE
KOI 574.02,,75.206575,15.441298,0.0860,,1.14,,CANDIDATE
KOI 575.01,,76.766282,12.310185,0.1690,,2.51,,CANDIDATE
KOI 577.01,,76.565329,13.299853,0.2120,,2.43,,CANDIDATE
KOI 578.01,,77.474586,11.495904,0.0680,,3.93,,CANDIDATE
KOI 579.01,,75.912614,14.943487,0.0300,,1.55,,CANDIDATE
KOI 579.02,,75.912614,14.943487,0.0450,,1.75,,CANDIDATE
KOI 580.01,,76.993560,12.582463,0.0670,,2.82,,CANDIDATE
KOI 581.01,,77.633467,12.138598,0.0710,,3.20,,CANDIDATE
KOI 582.01,,77.247260,13.512298,0.0610,,2.24,,CANDIDATE
KOI 582.02,,77.247260,13.512298,0.1260,,2.12,,CANDIDATE
KOI 583.01,,75.899613,16.910758,0.0360,,1.54,,CANDIDATE
KOI 584.01,,76.538724,15.714184,0.0860,,2.30,,CANDIDATE
KOI 584.02,,76.538724,15.714184,0.1420,,2.10,,CANDIDATE
KOI 585.01,,77.695238,13.583778,0.0450,,2.37,,CANDIDATE
KOI 586.01,,75.822544,19.277308,0.1220,,2.17,,CANDIDATE
KOI 587.01,,80.461778,9.490157,0.1040,,2.60,,CANDIDATE
KOI 588.01,,75.817380,19.521876,0.0750,,1.63,,CANDIDATE
KOI 590.01,,80.090006,10.773542,0.1030,,2.43,,CANDIDATE
KOI 590.02,,80.090006,10.773542,0.2780,,2.92,,CANDIDATE
KOI 592.01,,79.650524,12.123954,0.2200,,2.74,,CANDIDATE
KOI 593.01,,79.833533,11.810959,0.0920,,2.63,,CANDIDATE
KOI 593.02,,79.833533,11.810959,0.3970,,3.79,,CANDIDATE
KOI 596.01,,77.322018,19.088668,0.0230,,1.42,,CANDIDATE
KOI 597.01,,79.853701,14.098079,0.1270,,2.60,,CANDIDATE
KOI 597.02,,79.853701,14.098079,0.0310,,1.45,,CANDIDATE
KOI 598.01,,78.874171,16.501524,0.0760,,2.53,,CANDIDATE
KOI 599.01,,81.176202,11.632322,0.0670,,2.46,,CANDIDATE
KOI 600.01,,78.479449,17.698714,0.0470,,2.26,,CANDIDATE
KOI 601.01,,80.050067,15.008759,0.0610,,2.84,,CANDIDATE
KOI 601.02,,80.050067,15.008759,0.1020,,23.11,,CANDIDATE
KOI 602.01,,82.903772,16.008036,0.1030,,2.53,,CANDIDATE
KOI 605.01,,72.166817,11.348462,0.0300,,1.54,,CANDIDATE
KOI 607.01,,72.436406,12.421191,0.0590,,6.41,,CANDIDATE
KOI 609.01,,72.145554,13.665546,0.0520,,14.81,,CANDIDATE
KOI 610.01,,71.064816,16.245609,0.0950,,1.76,,CANDIDATE
KOI 611.01,,76.404145,7.258540,0.0440,,11.32,,CANDIDATE
KOI 612.01,,72.315006,16.336185,0.1460,,4.82,,CANDIDATE
KOI 612.02,,72.315006,16.336185,0.2540,,5.46,,CANDIDATE
KOI 614.01,,75.823048,10.910626,0.1080,,7.87,,CANDIDATE
KOI 617.01,,80.457653,10.250755,0.2220,,41.00,,CANDIDATE
KOI 618.01,,81.057344,10.908915,0.0840,,3.10,,CANDIDATE
KOI 620.01,KEPLER-51 b,83.112580,12.362522,0.2490,,7.05,,CONFIRMED
KOI 620.02,,83.112580,12.362522,0.5050,,9.68,,CANDIDATE
KOI 620.03,KEPLER-51 c,83.112580,12.362522,0.3810,,5.71,,CONFIRMED
KOI 622.01,,84.141456,13.309628,0.5340,,6.96,,CANDIDATE
KOI 623.01,,83.303887,13.359286,0.0890,,1.36,,CANDIDATE
KOI 623.02,,83.303887,13.359286,0.1170,,1.42,,CANDIDATE
KOI 623.03,,83.303887,13.359286,0.0590,,1.18,,CANDIDATE
KOI 624.01,,70.958643,10.988154,0.1300,,2.46,,CANDIDATE
KOI 624.02,,70.958643,10.988154,0.2580,,2.40,,CANDIDATE
KOI 625.01,,70.369861,14.235528,0.2540,,46.64,,CANDIDATE
KOI 626.01,,73.354450,8.260700,0.1210,,2.09,,CANDIDATE
KOI 627.01,,72.339867,10.383407,0.0820,,2.45,,CANDIDATE
KOI 628.01,,71.226030,12.806783,0.1050,,1.87,,CANDIDATE
KOI 629.01,,72.441978,10.473760,0.2310,,2.73,,CANDIDATE
KOI 632.01,,71.684753,12.405889,0.0710,,1.46,,CANDIDATE
KOI 633.01,,73.069209,9.649053,0.5730,,5.34,,CANDIDATE
KOI 635.01,,73.636826,9.124994,0.1350,,2.73,,CANDIDATE
KOI 638.01,,74.108404,8.347484,0.1590,,3.60,,CANDIDATE
KOI 638.02,,74.108404,8.347484,0.3180,,3.78,,CANDIDATE
